X,Y,id,type2,lat,lon,DISTRICT_E
114.1602846,22.3285899,223,robbery,22.328589900000001,114.160284600000000,Sham Shui Po
114.2604425,22.311524,224,rape,22.311523999999999,114.260442500000000,Sai Kung
114.1696544,22.3175044,225,rape,22.317504400000001,114.169654400000000,Yau Tsim Mong
114.1480705,22.2872325,226,rape,22.287232499999998,114.148070500000000,Central & Western
114.0451814,22.4777336,227,burglary,22.477733600000001,114.045181400000000,Yuen Long
114.2227035,22.3103686,228,rape,22.310368600000000,114.222703499999990,Kwun Tong
114.146908,22.3320934,229,robbery,22.332093400000002,114.146908000000000,Sham Shui Po
114.215841,22.328099,230,violent crime,22.328099000000002,114.215841000000000,Kwun Tong
114.130842,22.3626051,231,wounding and serious assault,22.362605100000000,114.130842000000000,Kwai Tsing
114.1761625,22.3793305,232,burglary,22.379330499999998,114.176162500000000,Sha Tin
114.1684272,22.2778935,233,rape,22.277893500000001,114.168427200000000,Wan Chai
114.1288935,22.3429139,234,wounding and serious assault,22.342913899999999,114.128893500000000,Kwai Tsing
114.1880245,22.3417611,235,rape,22.341761099999999,114.188024500000000,Wong Tai Sin
114.1990482,22.3246084,236,wounding and serious assault,22.324608399999999,114.199048199999990,Kowloon City
114.1990482,22.3246084,237,rape,22.324608399999999,114.199048199999990,Kowloon City
114.1990482,22.3246084,238,rape,22.324608399999999,114.199048199999990,Kowloon City
114.169773,22.3203648,239,wounding and serious assault,22.320364800000000,114.169773000000010,Yau Tsim Mong
114.165349,22.3376695,240,wounding and serious assault,22.337669500000001,114.165349000000010,Sham Shui Po
114.2227035,22.3103686,241,serious drug offenses,22.310368600000000,114.222703499999990,Kwun Tong
114.1144306,22.3699122,242,rape,22.369912200000002,114.114430600000010,Tsuen Wan
114.1736608,22.3697293,243,deception,22.369729299999999,114.173660799999990,Sha Tin
114.169773,22.3203648,244,deception,22.320364800000000,114.169773000000010,Yau Tsim Mong
114.169773,22.3203648,246,wounding and serious assault,22.320364800000000,114.169773000000010,Yau Tsim Mong
114.1796057,22.3185673,247,rape,22.318567300000002,114.179605700000000,Kowloon City
114.155542,22.319137,248,violent crime,22.319137000000001,114.155542000000000,Yau Tsim Mong
114.1929727,22.3226417,249,violent crime,22.322641699999998,114.192972700000000,Kowloon City
114.1491375,22.2863943,250,burglary,22.286394300000001,114.149137499999990,Central & Western
114.1144306,22.3699122,251,serious drug offenses,22.369912200000002,114.114430600000010,Tsuen Wan
114.1144306,22.3699122,252,robbery,22.369912200000002,114.114430600000010,Tsuen Wan
114.1745488,22.300916,253,robbery,22.300916000000001,114.174548800000000,Yau Tsim Mong
114.1796057,22.3185673,254,wounding and serious assault,22.318567300000002,114.179605700000000,Kowloon City
114.1974398,22.3771304,255,wounding and serious assault,22.377130399999999,114.197439800000000,Sha Tin
114.1144306,22.3699122,256,robbery,22.369912200000002,114.114430600000010,Tsuen Wan
114.169773,22.3203648,257,serious drug offenses,22.320364800000000,114.169773000000010,Yau Tsim Mong
114.1559823,22.2805197,258,wounding and serious assault,22.280519699999999,114.155982300000010,Central & Western
114.1023164,22.5038012,260,burglary,22.503801200000002,114.102316400000010,North
114.0222076,22.4445376,262,robbery,22.444537600000000,114.022207600000000,Yuen Long
114.116042,22.370501,263,robbery,22.370501000000001,114.116041999999990,Tsuen Wan
114.2167592,22.322466,264,robbery,22.322465999999999,114.216759200000000,Kwun Tong
114.1384766,22.4917369,265,deception,22.491736899999999,114.138476600000000,North
114.1632571,22.31975,266,robbery,22.319749999999999,114.163257100000000,Yau Tsim Mong
114.169773,22.3203648,267,robbery,22.320364800000000,114.169773000000010,Yau Tsim Mong
114.1825781,22.2762468,268,rape,22.276246799999999,114.182578100000000,Wan Chai
114.1741886,22.2990937,270,robbery,22.299093700000000,114.174188599999990,Yau Tsim Mong
114.1971229,22.2371597,273,burglary,22.237159699999999,114.197122900000000,Southern
114.1865135,22.268352,274,wounding and serious assault,22.268352000000000,114.186513500000000,Wan Chai
114.1769569,22.2965769,275,deception,22.296576900000002,114.176956899999990,Yau Tsim Mong
114.1654865,22.2796357,276,wounding and serious assault,22.279635700000000,114.165486500000000,Central & Western
114.1655064,22.4423218,277,homicide,22.442321799999998,114.165506400000000,Tai Po
114.1655064,22.4423218,278,homicide,22.442321799999998,114.165506400000000,Tai Po
114.1655064,22.4423218,279,homicide,22.442321799999998,114.165506400000000,Tai Po
114.1414685,22.4916829,280,homicide,22.491682900000001,114.141468500000000,North
114.1796057,22.3185673,281,serious drug offenses,22.318567300000002,114.179605700000000,Kowloon City
114.1414685,22.4916829,282,wounding and serious assault,22.491682900000001,114.141468500000000,North
114.146908,22.3320934,283,burglary,22.332093400000002,114.146908000000000,Sham Shui Po
114.1655064,22.4423218,284,burglary,22.442321799999998,114.165506400000000,Tai Po
114.1524398,22.2483068,285,robbery,22.248306800000002,114.152439800000000,Southern
114.2348969,22.3186108,286,rape,22.318610799999998,114.234896900000000,Kwun Tong
114.1292619,22.2822235,287,wounding and serious assault,22.282223500000001,114.129261900000000,Central & Western
114.1654865,22.2796357,288,wounding and serious assault,22.279635700000000,114.165486500000000,Central & Western
114.169773,22.3203648,289,serious drug offenses,22.320364800000000,114.169773000000010,Yau Tsim Mong
114.2707867,22.383689,290,burglary,22.383689000000000,114.270786700000000,Sai Kung
114.1929813,22.3429615,291,burglary,22.342961500000001,114.192981300000000,Wong Tai Sin
114.1796057,22.3185673,292,serious drug offenses,22.318567300000002,114.179605700000000,Kowloon City
114.1290719,22.2679201,293,violent crime,22.267920100000001,114.129071900000000,Southern
114.1524398,22.2483068,294,robbery,22.248306800000002,114.152439800000000,Southern
114.1144306,22.3699122,295,homicide,22.369912200000002,114.114430600000010,Tsuen Wan
114.1290719,22.2679201,296,violent crime,22.267920100000001,114.129071900000000,Southern
114.1498806,22.2730219,297,wounding and serious assault,22.273021900000000,114.149880600000000,Central & Western
114.146908,22.3320934,298,robbery,22.332093400000002,114.146908000000000,Sham Shui Po
114.1711561,22.3105489,299,rape,22.310548900000001,114.171156100000000,Yau Tsim Mong
113.9725126,22.3908295,300,rape,22.390829499999999,113.972512600000000,Tuen Mun
114.2331057,22.315698,301,rape,22.315698000000001,114.233105700000000,Kwun Tong
114.2707867,22.383689,302,robbery,22.383689000000000,114.270786700000000,Sai Kung
114.2331057,22.315698,303,robbery,22.315698000000001,114.233105700000000,Kwun Tong
114.1974398,22.2432164,304,robbery,22.243216400000001,114.197439800000000,Southern
113.9725126,22.3908295,305,rape,22.390829499999999,113.972512600000000,Tuen Mun
114.20324,22.531577,306,robbery,22.531576999999999,114.203239999999990,North
114.1796057,22.3185673,308,homicide,22.318567300000002,114.179605700000000,Kowloon City
114.1417059,22.2875634,309,rape,22.287563400000000,114.141705900000010,Central & Western
114.169773,22.3203648,310,wounding and serious assault,22.320364800000000,114.169773000000010,Yau Tsim Mong
114.1796057,22.3185673,311,rape,22.318567300000002,114.179605700000000,Kowloon City
114.2707867,22.383689,312,robbery,22.383689000000000,114.270786700000000,Sai Kung
114.2331057,22.315698,313,robbery,22.315698000000001,114.233105700000000,Kwun Tong
114.1796057,22.3185673,314,homicide,22.318567300000002,114.179605700000000,Kowloon City
114.1796057,22.3185673,315,homicide,22.318567300000002,114.179605700000000,Kowloon City
114.1714423,22.3068537,316,serious drug offenses,22.306853700000001,114.171442300000000,Yau Tsim Mong
114.146908,22.3320934,317,serious drug offenses,22.332093400000002,114.146908000000000,Sham Shui Po
114.1796057,22.3185673,318,serious drug offenses,22.318567300000002,114.179605700000000,Kowloon City
114.2331057,22.315698,319,all thefts,22.315698000000001,114.233105700000000,Kwun Tong
114.2331057,22.315698,320,robbery,22.315698000000001,114.233105700000000,Kwun Tong
114.1796057,22.3185673,321,homicide,22.318567300000002,114.179605700000000,Kowloon City
114.2707867,22.383689,322,burglary,22.383689000000000,114.270786700000000,Sai Kung
114.1974398,22.3771304,323,robbery,22.377130399999999,114.197439800000000,Sha Tin
114.1646185,22.3200772,324,wounding and serious assault,22.320077200000000,114.164618500000000,Yau Tsim Mong
114.1796057,22.3185673,325,homicide,22.318567300000002,114.179605700000000,Kowloon City
114.192803,22.2884683,326,rape,22.288468300000002,114.192803000000000,Eastern
114.224114,22.284354,327,criminal intimidation,22.284354000000000,114.224114000000000,Eastern
114.192803,22.2884683,328,rape,22.288468300000002,114.192803000000000,Eastern
114.192803,22.2884683,329,rape,22.288468300000002,114.192803000000000,Eastern
114.1796057,22.3185673,330,homicide,22.318567300000002,114.179605700000000,Kowloon City
114.192803,22.2884683,331,rape,22.288468300000002,114.192803000000000,Eastern
114.1714423,22.3068537,332,serious drug offenses,22.306853700000001,114.171442300000000,Yau Tsim Mong
114.1558258,22.5009081,333,robbery,22.500908100000000,114.155825800000000,North
114.1721746,22.2988123,334,robbery,22.298812300000002,114.172174600000010,Yau Tsim Mong
114.1974398,22.3771304,335,wounding and serious assault,22.377130399999999,114.197439800000000,Sha Tin
114.1558258,22.5009081,336,robbery,22.500908100000000,114.155825800000000,North
114.1929813,22.3429615,337,homicide,22.342961500000001,114.192981300000000,Wong Tai Sin
114.165521,22.4423282,338,wounding and serious assault,22.442328199999999,114.165521000000000,Tai Po
114.1144306,22.3699122,339,wounding and serious assault,22.369912200000002,114.114430600000010,Tsuen Wan
114.1144306,22.3699122,340,wounding and serious assault,22.369912200000002,114.114430600000010,Tsuen Wan
114.0973535,22.3550852,341,robbery,22.355085200000001,114.097353500000000,Kwai Tsing
114.1414685,22.4916829,342,homicide,22.491682900000001,114.141468500000000,North
114.1275855,22.2695491,343,robbery,22.269549099999999,114.127585500000000,Southern
113.9725126,22.3908295,344,wounding and serious assault,22.390829499999999,113.972512600000000,Tuen Mun
114.165521,22.4423282,345,robbery,22.442328199999999,114.165521000000000,Tai Po
114.1275855,22.2695491,346,robbery,22.269549099999999,114.127585500000000,Southern
114.0222095,22.4445484,347,wounding and serious assault,22.444548399999999,114.022209500000000,Yuen Long
114.1414685,22.4916829,348,wounding and serious assault,22.491682900000001,114.141468500000000,North
114.1275855,22.2695491,349,robbery,22.269549099999999,114.127585500000000,Southern
113.9725126,22.3908295,350,burglary,22.390829499999999,113.972512600000000,Tuen Mun
114.169773,22.3203648,351,wounding and serious assault,22.320364800000000,114.169773000000010,Yau Tsim Mong
114.1974398,22.3771304,352,burglary,22.377130399999999,114.197439800000000,Sha Tin
114.146908,22.3320934,353,burglary,22.332093400000002,114.146908000000000,Sham Shui Po
114.2041274,22.3572415,354,robbery,22.357241500000001,114.204127400000000,Sha Tin
114.2707867,22.383689,355,burglary,22.383689000000000,114.270786700000000,Sai Kung
114.1144306,22.3699122,357,wounding and serious assault,22.369912200000002,114.114430600000010,Tsuen Wan
114.1796057,22.3185673,358,wounding and serious assault,22.318567300000002,114.179605700000000,Kowloon City
114.1796057,22.3185673,359,wounding and serious assault,22.318567300000002,114.179605700000000,Kowloon City
114.146908,22.3320934,360,wounding and serious assault,22.332093400000002,114.146908000000000,Sham Shui Po
114.146908,22.3320934,361,burglary,22.332093400000002,114.146908000000000,Sham Shui Po
113.9725126,22.3908295,362,deception,22.390829499999999,113.972512600000000,Tuen Mun
114.1796057,22.3185673,363,burglary,22.318567300000002,114.179605700000000,Kowloon City
114.176217,22.283391,364,violent crime,22.283391000000002,114.176216999999990,Wan Chai
114.1141601,22.3713227,365,serious drug offenses,22.371322700000000,114.114160100000010,Tsuen Wan
114.1144306,22.3699122,366,homicide,22.369912200000002,114.114430600000010,Tsuen Wan
114.1796057,22.3185673,367,rape,22.318567300000002,114.179605700000000,Kowloon City
114.0222095,22.4445484,368,burglary,22.444548399999999,114.022209500000000,Yuen Long
114.1144306,22.3699122,369,homicide,22.369912200000002,114.114430600000010,Tsuen Wan
114.0222095,22.4445484,370,wounding and serious assault,22.444548399999999,114.022209500000000,Yuen Long
114.0041996,22.4606419,371,homicide,22.460641899999999,114.004199600000010,Yuen Long
114.1141601,22.3713227,372,homicide,22.371322700000000,114.114160100000010,Tsuen Wan
114.1144306,22.3699122,373,homicide,22.369912200000002,114.114430600000010,Tsuen Wan
114.15472,22.279794,374,serious drug offenses,22.279793999999999,114.154720000000000,Central & Western
114.1974398,22.3771304,375,wounding and serious assault,22.377130399999999,114.197439800000000,Sha Tin
114.1260991,22.5112008,376,burglary,22.511200800000001,114.126099100000000,North
114.1302591,22.3668502,377,homicide,22.366850199999998,114.130259100000000,Kwai Tsing
114.1260991,22.5112008,378,burglary,22.511200800000001,114.126099100000000,North
114.1914919,22.2859787,379,violent crime,22.285978700000001,114.191491900000000,Wan Chai
114.2331057,22.315698,380,rape,22.315698000000001,114.233105700000000,Kwun Tong
114.2331057,22.315698,381,rape,22.315698000000001,114.233105700000000,Kwun Tong
114.1796057,22.3185673,382,burglary,22.318567300000002,114.179605700000000,Kowloon City
114.1414685,22.4916829,383,robbery,22.491682900000001,114.141468500000000,North
114.169773,22.3203648,384,rape,22.320364800000000,114.169773000000010,Yau Tsim Mong
113.9725126,22.3908295,385,rape,22.390829499999999,113.972512600000000,Tuen Mun
114.1302591,22.3668502,386,burglary,22.366850199999998,114.130259100000000,Kwai Tsing
114.1751471,22.276022,387,robbery,22.276022000000001,114.175147100000000,Wan Chai
114.169773,22.3203648,388,robbery,22.320364800000000,114.169773000000010,Yau Tsim Mong
114.1742956,22.3031765,389,serious drug offenses,22.303176499999999,114.174295599999990,Yau Tsim Mong
114.2672828,22.3172623,390,wounding and serious assault,22.317262299999999,114.267282800000000,Sai Kung
114.1937244,22.2751881,392,burglary,22.275188100000001,114.193724399999990,Wan Chai
114.1275855,22.2695491,393,all thefts,22.269549099999999,114.127585500000000,Southern
114.1796057,22.3185673,394,wounding and serious assault,22.318567300000002,114.179605700000000,Kowloon City
114.1796057,22.3185673,395,wounding and serious assault,22.318567300000002,114.179605700000000,Kowloon City
114.1796057,22.3185673,397,rape,22.318567300000002,114.179605700000000,Kowloon City
114.1914919,22.2859787,398,wounding and serious assault,22.285978700000001,114.191491900000000,Wan Chai
114.1769251,22.3022617,399,wounding and serious assault,22.302261699999999,114.176925100000010,Yau Tsim Mong
114.1144306,22.3699122,400,wounding and serious assault,22.369912200000002,114.114430600000010,Tsuen Wan
114.1751471,22.276022,401,serious drug offenses,22.276022000000001,114.175147100000000,Wan Chai
114.2123009,22.2827206,402,robbery,22.282720600000001,114.212300900000000,Eastern
114.1587983,22.2799907,403,burglary,22.279990699999999,114.158798300000000,Central & Western
114.2707867,22.383689,404,wounding and serious assault,22.383689000000000,114.270786700000000,Sai Kung
114.169773,22.3203648,405,wounding and serious assault,22.320364800000000,114.169773000000010,Yau Tsim Mong
114.2123009,22.2827206,406,robbery,22.282720600000001,114.212300900000000,Eastern
114.2123009,22.2827206,407,robbery,22.282720600000001,114.212300900000000,Eastern
114.1359272,22.3377817,408,burglary,22.337781700000001,114.135927200000000,Sham Shui Po
114.1796057,22.3185673,409,rape,22.318567300000002,114.179605700000000,Kowloon City
114.1655064,22.4423218,410,wounding and serious assault,22.442321799999998,114.165506400000000,Tai Po
114.2331057,22.315698,411,serious drug offenses,22.315698000000001,114.233105700000000,Kwun Tong
114.1796057,22.3185673,412,rape,22.318567300000002,114.179605700000000,Kowloon City
114.169773,22.3203648,413,wounding and serious assault,22.320364800000000,114.169773000000010,Yau Tsim Mong
114.169773,22.3203648,414,wounding and serious assault,22.320364800000000,114.169773000000010,Yau Tsim Mong
114.2167592,22.322466,415,wounding and serious assault,22.322465999999999,114.216759200000000,Kwun Tong
114.1714423,22.3068537,416,serious drug offenses,22.306853700000001,114.171442300000000,Yau Tsim Mong
114.1879691,22.3173373,417,burglary,22.317337299999998,114.187969100000000,Kowloon City
114.1725485,22.3213457,418,serious drug offenses,22.321345699999998,114.172548500000000,Yau Tsim Mong
114.169773,22.3203648,419,wounding and serious assault,22.320364800000000,114.169773000000010,Yau Tsim Mong
114.1692021,22.3048612,420,all thefts,22.304861200000001,114.169202100000010,Yau Tsim Mong
114.2348969,22.3186108,421,robbery,22.318610799999998,114.234896900000000,Kwun Tong
114.1796057,22.3185673,422,wounding and serious assault,22.318567300000002,114.179605700000000,Kowloon City
114.1796057,22.3185673,423,serious drug offenses,22.318567300000002,114.179605700000000,Kowloon City
114.169773,22.3203648,424,rape,22.320364800000000,114.169773000000010,Yau Tsim Mong
114.2707867,22.383689,425,robbery,22.383689000000000,114.270786700000000,Sai Kung
114.1786167,22.3727071,426,burglary,22.372707100000000,114.178616700000010,Sha Tin
114.176853,22.297462,427,wounding and serious assault,22.297461999999999,114.176852999999990,Yau Tsim Mong
114.1786167,22.3727071,429,burglary,22.372707100000000,114.178616700000010,Sha Tin
114.1655064,22.4423218,430,violent crime,22.442321799999998,114.165506400000000,Tai Po
114.169773,22.3203648,431,wounding and serious assault,22.320364800000000,114.169773000000010,Yau Tsim Mong
114.146908,22.3320934,432,all thefts,22.332093400000002,114.146908000000000,Sham Shui Po
114.1929813,22.3429615,433,wounding and serious assault,22.342961500000001,114.192981300000000,Wong Tai Sin
114.146908,22.3320934,434,robbery,22.332093400000002,114.146908000000000,Sham Shui Po
114.1528532,22.2418581,435,wounding and serious assault,22.241858100000002,114.152853200000000,Southern
114.1751471,22.276022,436,wounding and serious assault,22.276022000000001,114.175147100000000,Wan Chai
114.0041996,22.4606419,437,rape,22.460641899999999,114.004199600000010,Yuen Long
113.9725126,22.3908295,438,deception,22.390829499999999,113.972512600000000,Tuen Mun
114.1414685,22.4916829,439,homicide,22.491682900000001,114.141468500000000,North
114.1974398,22.3771304,440,wounding and serious assault,22.377130399999999,114.197439800000000,Sha Tin
114.1796057,22.3185673,441,wounding and serious assault,22.318567300000002,114.179605700000000,Kowloon City
114.169773,22.3203648,442,wounding and serious assault,22.320364800000000,114.169773000000010,Yau Tsim Mong
114.1387332,22.366173,450,criminal intimidation,22.366173000000000,114.138733200000000,Kwai Tsing
